%time,field.x,field.y,field.z
1583762908148590566,-0.0463620113274,-0.00775331202991,-0.00787929360174
1583762908248808617,-0.0479509021536,-0.007625682347,-0.00738776867479
1583762908348876343,-0.0501528444767,-0.00712100391975,-0.00641517770123
1583762908447638298,-0.0521102481294,-0.00711481490393,-0.00592031234613
1583762908548299791,-0.0540654517007,-0.00674114356059,-0.00543500031302
1583762908648779859,-0.0556553751732,-0.00659612505256,-0.00445675987597
1583762908748547700,-0.0568823050437,-0.00657137598555,-0.00347672191942
1583762908847893380,-0.0577391580782,-0.00667013832131,-0.00261619716898
1583762908948762635,-0.0585937266056,-0.00703007019538,-0.00235855208989
1583762909047690607,-0.0590825483696,-0.0071453992295,-0.00210917969711
1583762909149913654,-0.0583492954923,-0.00739585762979,-0.00234873712504
1583762909247590662,-0.0573722182126,-0.00824895459288,-0.00232787420765
1583762909348430007,-0.0556598633175,-0.00788739265105,-0.00258908056177
1583762909449028700,-0.0540743775732,-0.00800093316496,-0.00234803768203
